id,Name,titleProject_id,class,score,login,password
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,1mK2mnaP
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,dO65smJd
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,Wl5Hu0sj
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,lquJT51v
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,w8Pnva6I
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,1KdplN2h
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,TZa3ph9a
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,7Tmt2niX
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,9oxlLT2y
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,xE9cj0tM
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,8rWce3bR
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,K3Ubzq6p
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,SwO4w7md
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,CLz8nrq2
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,ENc7ors3
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,7GzJaxp7
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,89vMywVv
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,FAafw16q
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,qd59eRfK
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,6GOjt1pf
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,4UH4iabx
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,AuOlo4i6
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,B9zN0wyg
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,1ZvX4pjv
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,rXa47ymE
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,wLQ48qnu
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,cf8LLme7
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,h8hvLX2o
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,6b5LPetj
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,Lsca20tE
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,zy7Kcs8B
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,LNmk11xl
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,4KchsjO5
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,iCi3dDq6
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,nvP3gw7Z
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,2xU7xNgj
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,Unk58iBw
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,h6vm6RtF
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,xha9LV6y
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,hvm7J6Sk
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,31KkdDmv
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,wqZ3gt2O
67,Остюков Артур Романович,329,11и,3,Остюков_АР,3gdkbJ8U
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,9rtaR9Lm
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,Unqt8Cd3
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,qMRab0t0
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,kmx6JI2s
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,oeUo7Nu8
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,Qvp85dcR
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,cCoc6nC9
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,2SQsq6pp
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,a2uLqn6B
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,15nrDyQb
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,B4bH6sit
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,absWx0W7
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,xbH3b0iI
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,rMXs9ic7
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,P3m6jnfG
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,2D1Hmsow
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,t8Ll6Bnb
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,kmd4E2rQ
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,kwSLa02f
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,yjDo8Gm4
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,0Cibmq3B
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,1wcEP9za
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,sR6rOta8
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,Zc8E0jwz
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,yo6oU8Yj
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,9f1rgmHO
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,pl4kUkZ6
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,72BereMd
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,Ln8Blfd6
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,b13nLgQj
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,mx2L9sDm
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,2oDK2mtk
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,n5wb8OZy
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,5rah2ByY
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,7bF8Wyaj
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,sKsSu4e4
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,Mkg15Qzf
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,lW8ozr6M
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,ft99BfUd
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,6rF9sfDy
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,4Me2wFlq
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,sIE1sbd4
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,Bvv6p0Dh
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,bscZsO62
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,z3fSpQ7g
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,Tsq8lyL5
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,mq0tv4JW
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,b3ol3QZs
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,XGa1b1vl
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,p1K6Zqcf
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,72BxtSuc
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,ce8Uxf5K
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,gIl36Pay
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,HzP0w7gq
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,X4fSg9us
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,W88nIbgo
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,MLdbxy99
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,xzXpA1y9
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,xqd2vPY9
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,9xyJcrS7
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,4na5TngZ
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,0xooJ8Fm
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,7Md4tPhs
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,Oo7Rea1n
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,4ay4DwoW
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,1mnjFTp4
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,bR4S9ucp
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,SrjxIt51
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,hnx5rAE4
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,rhX39Ooi
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,8d6JgcYd
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,bmDy8uE7
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,e7k0hTVw
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,kePk3p2N
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,q4Yik3Jx
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,O8Awm8fp
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,nuv6RWy2
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,M3vQk5xm
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,GWel4yd2
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,ttw2Ip4C
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,5c0FqHae
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,jbgWT8v6
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,pW7d8vcQ
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,t58CGcbb
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,2Mn0mxSz
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,4gdAauH5
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,m5uY9Keq
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,aO36ukNu
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,KuyxLw99
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,g9Xzf3Qz
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,gNryN7d4
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,9kWviLm4
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,W6hediO8
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,r6oFIn6f
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,hK0g5snW
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,qMgSo86q
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,Map48Yvp
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,f0Coz9dN
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,u6pCDqv7
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,Plr5Dog7
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,v4RbY9xy
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,w8bxF3Cy
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,wPz6Dxq4
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,T5fgUn9w
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,7SYoqu8x
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,nevN6f5M
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,I6xcuTl7
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,FuhcXd27
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,Bng06Obg
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,1E5oAcvs
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,jTFfyq56
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,eV1ayVa7
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,zB1lvS6r
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,Lqw6Mp1o
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,qyU32Sbo
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,93AtsdzY
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,2GepfJ9l
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,nmOz85gT
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,Mg2rvd7B
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,afkc9D8F
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,oO6d0qXj
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,QbKl2l0c
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,iZr8w7Vp
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,3riS0oDl
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,W1od7oJt
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,86SqzQev
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,Z4yxv1Iz
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,1GK9kgvd
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,n2Q1heUw
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,VH2k1mkw
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,73OuDoou
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,2sKtmD0v
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,O5af7uyW
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,p5bTKk0x
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,tLsKma93
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,imEJ6w2k
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,8mYrTd1p
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,3UxLkzc7
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,GuXuc8r9
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,Hv7eI2yz
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,pfU66Mqk
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,tp1G2eZl
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,WjwQ2ko4
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,bsj9VI8w
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,Iq7zjoT1
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,l1U6rkUd
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,zd8HItn8
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,9fAeJ5mn
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,rAzbt5J7
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,k6Zp6Tnc
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,aZR2aw2s
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,cmd3REe1
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,oa6x2eIK
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,46zzCIzb
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,05ptfvOY
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,Fk7olBt7
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,mybrIE40
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,fvx8WV7l
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,Wpxh44Tr
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,puK7Epc3
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,Q59dRiqg
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,d9H3ayKs
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,9uuyRgP5
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,61cdJRuv
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,6qCOivo7
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,G7cCu5wv
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,Gj4N1khp
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,DCw98zmx
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,Jz1Zk3ry
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,yZksSj26
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,nAmzp48Z
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,4hMbza7T
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,4kbQaw0M
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,LXq41rmx
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,wxk9XT2y
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,qG7k6hTj
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,sej7MP5g
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,c5xd4mGN
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,itopY11M
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,XeoyK39y
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,Dal1a7Mu
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,1H7ntwrG
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,k84QoqNm
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,jVvyX22e
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,0yYzKje2
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,a5wGuYj4
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,Eh6dl9Bx
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,R7No8wpt
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,S03aicnB
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,2u6NcYbp
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,0x2CFvvx
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,Efz49zOz
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,XrGv9l8u
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,9zTqYz2y
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,v6rpMxR2
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,AHzop4e7
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,98UZuwwe
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,72hvjoXW
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,rfIWcs32
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,rAw3Tai0
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,0ujRD0qr
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,c3HdLo3x
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,s93boIcY
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,dh0Tp3Ey
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,5h7fhVzT
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,ad7oCxW1
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,q8d5sGnY
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,vVxcZ11p
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,Xo3tQ7et
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,6Uk7Ugsq
278,Углова Галина Романовна,260,9г,3,Углова_ГР,9Afr7Ect
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,zzUy7j0T
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,qc7Yx0tI
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,6Zsb1Fyw
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,MeGg5jn2
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,w8V7Xrue
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,4qmtQ5xI
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,umSDy84v
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,6yFLjh9k
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,6vX4zAhp
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,70pgexYD
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,isK1Wjq0
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,R32mkgeN
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,hE4nmg7S
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,9HSr0wgv
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,3GQun7rg
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,tPnd6m9T
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,0yQ4sgOe
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,Rhm0wz9L
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,g1ey9yGJ
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,fkXc7Cs5
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,Ya1bd7Zi
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,iHa5zYk3
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,11XSwqjf
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,jRu7Cdf3
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,Ah0ehnA0
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,neGe08Sg
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,8Sc6tqsR
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,I1Va4vin
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,Sz2l9mlD
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,BbosKn05
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,ozG35bzZ
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,7Z4fnSbm
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,qQ47Qlfy
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,xr3eQOk3
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,JM5xml8u
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,7Q4Cdeqj
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,gnjwB97L
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,X6wVutf4
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,klHq9uZ8
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,K5pPrlz6
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,mhKCi35t
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,3yxOWe7f
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,z96agFDt
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,jqjLC88q
